Date,Open,High,Low,Close,Volume
01-Mar-97,790.82,814.9,756.13,757.12,"10,120,760,000"
01-Feb-97,786.16,817.68,773.43,790.82,"9,715,930,000"
01-Jan-97,740.74,794.67,729.55,786.16,"11,635,830,000"
01-Dec-96,757.02,761.75,716.69,740.74,"9,089,170,000"
01-Nov-96,705.27,762.12,701.3,757.02,"8,763,850,000"
01-Oct-96,687.31,714.1,684.44,705.27,"9,703,670,000"
01-Sep-96,651.99,690.88,643.97,687.33,"8,064,070,000"
01-Aug-96,639.95,670.68,639.49,651.99,"7,380,320,000"
01-Jul-96,670.63,675.88,605.88,639.95,"8,849,860,000"
01-Jun-96,669.12,680.32,658.75,670.63,"7,930,840,000"
01-May-96,654.17,681.1,630.07,669.12,"8,921,140,000"
01-Apr-96,645.5,656.68,624.14,654.17,"8,875,580,000"
01-Mar-96,640.43,656.97,627.63,645.5,"8,984,200,000"
01-Feb-96,636.02,664.23,633.71,640.43,"8,749,960,000"
01-Jan-96,615.93,636.18,597.29,636.02,"9,188,050,000"
01-Dec-95,605.37,622.88,605.05,615.93,"7,697,540,000"
01-Nov-95,581.5,608.69,581.04,605.37,"7,602,150,000"
01-Oct-95,584.41,590.66,571.55,581.5,"8,043,320,000"
01-Sep-95,561.88,587.61,561.01,584.41,"7,052,830,000"
01-Aug-95,562.06,565.62,553.04,561.88,"7,146,620,000"
01-Jul-95,544.75,565.4,542.51,562.06,"7,307,960,000"
01-Jun-95,533.4,551.07,526,544.75,"7,555,650,000"
01-May-95,514.76,533.41,513.03,533.4,"7,555,690,000"
01-Apr-95,500.7,515.29,500.2,514.71,"6,307,030,000"
01-Mar-95,487.39,508.15,479.7,500.71,"7,792,400,000"
01-Feb-95,470.42,489.19,469.29,487.39,"6,330,100,000"
01-Jan-95,459.21,471.36,457.2,470.42,"6,852,060,000"
01-Dec-94,453.55,462.73,442.88,459.27,"6,351,530,000"
01-Nov-94,472.26,472.26,444.18,453.69,"6,251,240,000"
01-Oct-94,462.69,474.74,449.27,472.35,"6,344,700,000"
01-Sep-94,475.49,475.49,458.47,462.71,"6,152,870,000"
01-Aug-94,458.28,477.59,456.08,475.49,"6,398,750,000"
01-Jul-94,444.27,459.33,443.58,458.26,"4,980,100,000"
01-Jun-94,456.5,463.23,439.83,444.27,"5,852,670,000"
01-May-94,450.91,457.77,440.78,456.5,"5,675,970,000"
01-Apr-94,445.66,452.79,435.86,450.91,"5,735,010,000"
01-Mar-94,467.19,471.09,436.16,445.77,"7,225,010,000"
01-Feb-94,481.6,482.23,464.26,467.14,"5,853,100,000"
01-Jan-94,466.51,482.85,464.36,481.61,"6,627,390,000"
01-Dec-93,461.93,471.29,461.45,466.45,"5,791,210,000"
01-Nov-93,467.83,469.11,454.36,461.79,"5,876,610,000"
01-Oct-93,458.93,471.1,456.4,467.83,"5,940,460,000"
01-Sep-93,463.55,463.8,449.64,458.93,"5,552,720,000"
01-Aug-93,448.13,463.56,446.94,463.56,"5,506,200,000"
01-Jul-93,450.54,451.15,441.4,448.13,"5,308,530,000"
01-Jun-93,450.23,455.63,442.5,450.53,"5,544,400,000"
01-May-93,440.19,454.55,436.86,450.19,"5,108,640,000"
01-Apr-93,451.67,452.63,432.3,440.19,"5,853,170,000"
01-Mar-93,443.38,456.76,441.07,451.67,"5,766,950,000"
01-Feb-93,438.78,450.04,428.25,443.38,"5,442,450,000"
01-Jan-93,435.7,442.66,426.88,438.78,"5,280,850,000"
